                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.15923,                    0.5,                      1,                0.08704,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                  0.151,                    0.5,                      1,                0.08661,             7.7762e-05,             7.7762e-05,             7.7762e-05
                      3,                0.14499,                    0.5,                      1,                 0.0863,             0.00011898,             0.00011898,             0.00011898
                      4,                0.13892,                  0.625,                      1,                0.08582,             0.00015934,             0.00015934,             0.00015934
                      5,                0.12876,                    0.5,                      1,                0.08521,             0.00019886,             0.00019886,             0.00019886
                      6,                0.11961,                    0.5,                      1,                0.08441,             0.00023753,             0.00023753,             0.00023753
                      7,                0.10605,                    0.5,                      1,                 0.0824,             0.00027535,             0.00027535,             0.00027535
                      8,                 0.0698,                    0.5,                      1,                0.08191,             0.00031232,             0.00031232,             0.00031232
                      9,                 0.0385,                  0.625,                      1,                0.07935,             0.00034845,             0.00034845,             0.00034845
                     10,                 0.0225,                  0.625,                      1,                0.07794,             0.00038373,             0.00038373,             0.00038373
                     11,                0.01408,                  0.625,                      1,                0.08136,             0.00041815,             0.00041815,             0.00041815
                     12,                0.00333,                   0.75,                      1,                0.07336,             0.00045173,             0.00045173,             0.00045173
                     13,                0.00059,                   0.75,                      1,                0.07385,             0.00048447,             0.00048447,             0.00048447
                     14,                0.00102,                  0.625,                      1,                 0.0849,             0.00051635,             0.00051635,             0.00051635
                     15,                0.00039,                    0.5,                      1,                0.08777,             0.00054739,             0.00054739,             0.00054739
                     16,                0.00043,                   0.75,                      1,                0.07745,             0.00057757,             0.00057757,             0.00057757
                     17,                  6e-05,                   0.75,                      1,                0.07336,              0.0006009,              0.0006009,              0.0006009
                     18,                  8e-05,                   0.75,                      1,                 0.0694,              0.0006009,              0.0006009,              0.0006009
                     19,                  5e-05,                   0.75,                      1,                0.06921,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00016,                   0.75,                      1,                0.07245,             0.00058677,             0.00058677,             0.00058677
                     21,                  2e-05,                   0.75,                      1,                0.07373,              0.0005797,              0.0005797,              0.0005797
                     22,                  2e-05,                   0.75,                      1,                0.07806,             0.00057263,             0.00057263,             0.00057263
                     23,                  2e-05,                  0.625,                      1,                 0.0813,             0.00056556,             0.00056556,             0.00056556
                     24,                  3e-05,                    0.5,                      1,                0.09052,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00011,                    0.5,                      1,                0.08551,             0.00055142,             0.00055142,             0.00055142
