                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.07875,                0.93277,                      1,                0.19565,             0.00022134,             0.00022134,             0.00022134
                      2,                0.02821,                0.93277,                      1,                0.17346,             0.00044537,             0.00044537,             0.00044537
                      3,                0.00884,                0.93277,                      1,                0.16789,             0.00066487,             0.00066487,             0.00066487
                      4,                0.00737,                0.93277,                      1,                0.17657,             0.00069279,             0.00069279,             0.00069279
                      5,                0.00481,                 0.9916,                      1,                0.15695,             0.00069279,             0.00069279,             0.00069279
                      6,                0.00145,                 0.9916,                      1,                 0.1555,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00047,                 0.9916,                      1,                0.15613,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00023,                 0.9916,                      1,                0.15494,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00014,                 0.9916,                      1,                0.15364,             0.00066452,             0.00066452,             0.00066452
                     10,                 0.0001,                 0.9916,                      1,                0.15286,             0.00065745,             0.00065745,             0.00065745
                     11,                  7e-05,                 0.9916,                      1,                0.15228,             0.00065038,             0.00065038,             0.00065038
                     12,                  7e-05,                 0.9916,                      1,                0.15211,             0.00064331,             0.00064331,             0.00064331
                     13,                  4e-05,                 0.9916,                      1,                0.15186,             0.00063625,             0.00063625,             0.00063625
                     14,                  5e-05,                 0.9916,                      1,                0.15176,             0.00062918,             0.00062918,             0.00062918
                     15,                  4e-05,                 0.9916,                      1,                0.15166,             0.00062211,             0.00062211,             0.00062211
                     16,                  4e-05,                 0.9916,                      1,                0.15163,             0.00061504,             0.00061504,             0.00061504
                     17,                  3e-05,                 0.9916,                      1,                0.15146,             0.00060797,             0.00060797,             0.00060797
                     18,                  3e-05,                 0.9916,                      1,                 0.1515,              0.0006009,              0.0006009,              0.0006009
                     19,                  3e-05,                 0.9916,                      1,                0.15149,             0.00059383,             0.00059383,             0.00059383
                     20,                  2e-05,                 0.9916,                      1,                0.15149,             0.00058677,             0.00058677,             0.00058677
                     21,                  3e-05,                 0.9916,                      1,                0.15141,              0.0005797,              0.0005797,              0.0005797
                     22,                  2e-05,                 0.9916,                      1,                 0.1514,             0.00057263,             0.00057263,             0.00057263
                     23,                  2e-05,                 0.9916,                      1,                0.15132,             0.00056556,             0.00056556,             0.00056556
                     24,                  2e-05,                 0.9916,                      1,                0.15135,             0.00055849,             0.00055849,             0.00055849
                     25,                  2e-05,                 0.9916,                      1,                0.15131,             0.00055142,             0.00055142,             0.00055142
                     26,                  2e-05,                 0.9916,                      1,                0.15125,             0.00054435,             0.00054435,             0.00054435
                     27,                  2e-05,                 0.9916,                      1,                0.15117,             0.00053728,             0.00053728,             0.00053728
                     28,                  1e-05,                 0.9916,                      1,                0.15131,             0.00053022,             0.00053022,             0.00053022
                     29,                  1e-05,                 0.9916,                      1,                0.15114,             0.00052315,             0.00052315,             0.00052315
                     30,                  2e-05,                 0.9916,                      1,                0.15114,             0.00051608,             0.00051608,             0.00051608
                     31,                  1e-05,                 0.9916,                      1,                0.15118,             0.00050901,             0.00050901,             0.00050901
                     32,                  2e-05,                 0.9916,                      1,                0.15111,             0.00050194,             0.00050194,             0.00050194
                     33,                  1e-05,                 0.9916,                      1,                0.15109,             0.00049487,             0.00049487,             0.00049487
                     34,                  1e-05,                 0.9916,                      1,                0.15106,              0.0004878,              0.0004878,              0.0004878
                     35,                  1e-05,                 0.9916,                      1,                0.15103,             0.00048074,             0.00048074,             0.00048074
                     36,                  1e-05,                 0.9916,                      1,                0.15117,             0.00047367,             0.00047367,             0.00047367
                     37,                  1e-05,                 0.9916,                      1,                0.15112,              0.0004666,              0.0004666,              0.0004666
                     38,                  1e-05,                 0.9916,                      1,                  0.151,             0.00045953,             0.00045953,             0.00045953
                     39,                  1e-05,                 0.9916,                      1,                0.15096,             0.00045246,             0.00045246,             0.00045246
                     40,                  1e-05,                 0.9916,                      1,                0.15094,             0.00044539,             0.00044539,             0.00044539
                     41,                  1e-05,                 0.9916,                      1,                0.15099,             0.00043832,             0.00043832,             0.00043832
                     42,                  1e-05,                 0.9916,                      1,                0.15088,             0.00043126,             0.00043126,             0.00043126
                     43,                  1e-05,                 0.9916,                      1,                0.15097,             0.00042419,             0.00042419,             0.00042419
                     44,                  1e-05,                 0.9916,                      1,                0.15085,             0.00041712,             0.00041712,             0.00041712
                     45,                  1e-05,                 0.9916,                      1,                0.15088,             0.00041005,             0.00041005,             0.00041005
                     46,                  1e-05,                 0.9916,                      1,                0.15096,             0.00040298,             0.00040298,             0.00040298
                     47,                  1e-05,                 0.9916,                      1,                0.15088,             0.00039591,             0.00039591,             0.00039591
                     48,                  1e-05,                 0.9916,                      1,                0.15083,             0.00038884,             0.00038884,             0.00038884
                     49,                  1e-05,                 0.9916,                      1,                0.15085,             0.00038178,             0.00038178,             0.00038178
                     50,                  1e-05,                 0.9916,                      1,                0.15085,             0.00037471,             0.00037471,             0.00037471
                     51,                  1e-05,                 0.9916,                      1,                0.15091,             0.00036764,             0.00036764,             0.00036764
                     52,                  1e-05,                 0.9916,                      1,                0.15092,             0.00036057,             0.00036057,             0.00036057
                     53,                  1e-05,                 0.9916,                      1,                0.15079,              0.0003535,              0.0003535,              0.0003535
                     54,                  1e-05,                 0.9916,                      1,                0.15083,             0.00034643,             0.00034643,             0.00034643
                     55,                  1e-05,                 0.9916,                      1,                0.15097,             0.00033936,             0.00033936,             0.00033936
                     56,                  1e-05,                 0.9916,                      1,                0.15082,              0.0003323,              0.0003323,              0.0003323
                     57,                  1e-05,                 0.9916,                      1,                0.15076,             0.00032523,             0.00032523,             0.00032523
                     58,                  1e-05,                 0.9916,                      1,                0.15076,             0.00031816,             0.00031816,             0.00031816
                     59,                  1e-05,                 0.9916,                      1,                0.15076,             0.00031109,             0.00031109,             0.00031109
                     60,                  1e-05,                 0.9916,                      1,                0.15071,             0.00030402,             0.00030402,             0.00030402
                     61,                  1e-05,                 0.9916,                      1,                 0.1508,             0.00029695,             0.00029695,             0.00029695
                     62,                  1e-05,                 0.9916,                      1,                0.15076,             0.00028988,             0.00028988,             0.00028988
                     63,                  1e-05,                 0.9916,                      1,                0.15077,             0.00028282,             0.00028282,             0.00028282
                     64,                  1e-05,                 0.9916,                      1,                 0.1508,             0.00027575,             0.00027575,             0.00027575
                     65,                  1e-05,                 0.9916,                      1,                0.15074,             0.00026868,             0.00026868,             0.00026868
                     66,                  1e-05,                 0.9916,                      1,                 0.1507,             0.00026161,             0.00026161,             0.00026161
                     67,                  1e-05,                 0.9916,                      1,                0.15085,             0.00025454,             0.00025454,             0.00025454
                     68,                  1e-05,                 0.9916,                      1,                0.15076,             0.00024747,             0.00024747,             0.00024747
                     69,                  1e-05,                 0.9916,                      1,                0.15074,              0.0002404,              0.0002404,              0.0002404
                     70,                  1e-05,                 0.9916,                      1,                 0.1507,             0.00023334,             0.00023334,             0.00023334
                     71,                  1e-05,                 0.9916,                      1,                0.15071,             0.00022627,             0.00022627,             0.00022627
                     72,                  1e-05,                 0.9916,                      1,                 0.1507,              0.0002192,              0.0002192,              0.0002192
                     73,                      0,                 0.9916,                      1,                0.15073,             0.00021213,             0.00021213,             0.00021213
                     74,                  1e-05,                 0.9916,                      1,                 0.1507,             0.00020506,             0.00020506,             0.00020506
                     75,                      0,                 0.9916,                      1,                0.15074,             0.00019799,             0.00019799,             0.00019799
                     76,                      0,                 0.9916,                      1,                0.15073,             0.00019092,             0.00019092,             0.00019092
                     77,                  1e-05,                 0.9916,                      1,                0.15076,             0.00018385,             0.00018385,             0.00018385
                     78,                  1e-05,                 0.9916,                      1,                0.15082,             0.00017679,             0.00017679,             0.00017679
                     79,                  1e-05,                 0.9916,                      1,                0.15073,             0.00016972,             0.00016972,             0.00016972
                     80,                      0,                 0.9916,                      1,                0.15073,             0.00016265,             0.00016265,             0.00016265
                     81,                      0,                 0.9916,                      1,                0.15073,             0.00015558,             0.00015558,             0.00015558
                     82,                      0,                 0.9916,                      1,                0.15068,             0.00014851,             0.00014851,             0.00014851
                     83,                  1e-05,                 0.9916,                      1,                0.15071,             0.00014144,             0.00014144,             0.00014144
                     84,                      0,                 0.9916,                      1,                0.15067,             0.00013437,             0.00013437,             0.00013437
                     85,                  1e-05,                 0.9916,                      1,                0.15067,             0.00012731,             0.00012731,             0.00012731
                     86,                      0,                 0.9916,                      1,                0.15067,             0.00012024,             0.00012024,             0.00012024
                     87,                  1e-05,                 0.9916,                      1,                0.15071,             0.00011317,             0.00011317,             0.00011317
                     88,                      0,                 0.9916,                      1,                 0.1507,              0.0001061,              0.0001061,              0.0001061
                     89,                  1e-05,                 0.9916,                      1,                 0.1507,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                      0,                 0.9916,                      1,                0.15062,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                      0,                 0.9916,                      1,                0.15071,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                      0,                 0.9916,                      1,                0.15063,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                  1e-05,                 0.9916,                      1,                0.15074,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                  1e-05,                 0.9916,                      1,                 0.1507,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                      0,                 0.9916,                      1,                0.15068,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                  1e-05,                 0.9916,                      1,                0.15063,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                      0,                 0.9916,                      1,                0.15065,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                  1e-05,                 0.9916,                      1,                0.15073,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                  1e-05,                 0.9916,                      1,                 0.1507,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                      0,                 0.9916,                      1,                0.15063,             2.1277e-05,             2.1277e-05,             2.1277e-05
